pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate;;;;
17 Sco b,17 Sco,b,1,1,1,0,Radial Velocity,2020,Lick Observatory,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,578.38000000000,1.4500000000,,,,1373.01871824,4.32000000,Msini,,0.060000,,,,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,4157.00,25.920000,1.220000,-0.0100,[Fe/H],1.700000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.95300000,6.6150000,5.2260600,2.0940000,4.7542900,2021-10-25,2020-12,2021-10-25;;;;
24 Boo b,24 Boo,b,0,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,30.35060000000,0.1900000000,,,,289.22530000,0.91000000,Msini,,0.042000,,,,0,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893.00,10.640000,0.990000,-0.7700,[Fe/H],2.420000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.98630000,6.4390000,5.5900000,3.1590000,5.3339000,2018-04-25,2018-08,2018-04-26;;;;
24 Boo b,24 Boo,b,1,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,30.33000000000,0.1940000000,,,,280.64248338,0.88300000,Msini,,0.032000,,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 IV,4816.00,12.190000,1.050000,-0.7800,[Fe/H],2.280000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.98630000,6.4390000,5.5900000,3.1590000,5.3339000,2023-09-19,2023-08,2023-09-19;;;;
2M0437 b,2MASS J04372171+2651014,b,1,1,1,0,Imaging,2021,Subaru Telescope,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=GAIDOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2819G/abstract target=ref>Gaidos et al. 2021</a>,,118.0000000000,,,1271.31362800,1271.31362800,4.00000000,Mass,,,,1450.00,,0,<a refstr=GAIDOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2819G/abstract target=ref>Gaidos et al. 2021</a>,M V,3100.00,0.840000,0.170000,0.0100,[Fe/H],4.500000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.48400000,17.2370000,16.1860000,10.3860000,14.3374000,2021-12-13,2021-10,2021-12-13;;;;
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,,156.0000000000,16.14096000,1.44000000,4417.83700000,4417.83700000,13.90000000,Mass,,,,,,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064.00,0.281000,0.108000,,,4.590000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,18.5490000,,10.4040000,15.0123000,2015-05-14,2015-06,2015-05-14;;;;
2MASS J0249-0557 c,2MASS J0249-0557 A,c,1,2,1,0,Imaging,2018,Mauna Kea Observatory,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=DUPUY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...57D/abstract target=ref>Dupuy et al. 2018</a>,,1950.0000000000,,,3686.80952120,3686.80952120,11.60000000,Mass,,,,,,0,<a refstr=DUPUY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...57D/abstract target=ref>Dupuy et al. 2018</a>,M6 V,,,0.046000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.06130000,18.2690000,18.3000000,11.0550000,15.6894000,2024-05-13,2018-08,2024-05-13;;;;
2MASS J03590986+2009361 b,2MASS J03590986+2009361,b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,572.0000000000,,,5720.91132600,5720.91132600,18.00000000,Mass,,,,2369.00,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.43500000,20.2700000,,12.5330000,16.9967000,2024-05-08,2024-01,2024-05-08;;;
2MASS J11011926-7732383 b,2MASS J11011926-7732383,b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,266.0000000000,,,8899.19539600,8899.19539600,28.00000000,Mass,,,,2677.00,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,,,11.6320000,18.3299000,2024-05-08,2024-01,2024-05-08;;;
2MASS J11550485-7919108 b,2MASS J11550485-7919108,b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,587.0000000000,,,6356.56814000,6356.56814000,20.00000000,Mass,,,,2506.00,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.86200000,17.8720000,16.9570000,10.0790000,14.8180000,2024-05-07,2024-01,2024-05-07;;;
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,1,2,3,0,Eclipse Timing Variations,2015,Kepler,0,0,0,0,0,0,0,1,0,0,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406.00000000000,,,,,591.16083702,1.86000000,Msini,,0.330000,,,,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.00,0.203000,0.480000,,,5.508000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.33200000,12.1120000,12.6510000,12.9550000,12.1376000,2022-04-19,2022-04,2022-04-19;;;;
